sample,instrumented,context_ns
0,1,2676768
1,0,2549335
2,0,2523926
3,1,2566144
4,0,2502134
5,0,2517448
6,1,2537874
7,1,2569109
8,0,2503645
9,1,2542743
10,1,2543073
11,0,2495141
12,0,2529365
13,1,2552305
14,0,2528248
15,0,2503622
16,0,2523624
17,0,2551494
18,1,2606111
19,1,2562633
20,1,2565532
21,0,2506314
22,1,2563104
23,0,2508437
24,0,2516434
25,1,2547164
26,0,2538128
27,1,2542576
28,1,2596146
29,0,2503725
30,0,2535962
31,1,2580300
32,0,2506596
33,1,2568330
34,0,2498607
35,1,2548159
36,0,2505678
37,0,2525134
38,0,2495218
39,1,2565877
40,1,2543850
41,1,2563490
42,1,2540616
43,0,2537500
44,0,2493953
45,0,2537796
46,0,2513706
47,0,2492165
48,1,2529563
49,1,2526535
50,1,2551150
51,1,2542228
52,0,2496479
53,0,2500125
54,0,2514710
55,1,2536039
56,1,2538312
57,0,2526965
58,0,2513747
59,1,2544438
60,1,2529640
61,0,2512501
62,1,2541064
63,1,2546899
64,1,2569748
65,0,2500218
66,1,2552929
67,1,2562775
68,1,2543061
69,1,2583630
70,1,2530957
71,0,2524309
72,1,2542562
73,1,2573771
74,0,2503843
75,0,2530009
76,0,2507296
77,1,2531764
78,0,2489321
79,1,2544323
80,1,2534141
81,1,2533991
82,1,2544833
83,0,2508778
84,0,2499614
85,0,2514366
86,1,2546834
87,1,2548186
88,1,2540810
89,0,2496052
90,1,2545633
91,0,2500834
92,1,2591438
93,0,2520192
94,0,2509843
95,0,2493423
96,1,2530530
97,1,2530640
98,1,2539195
99,0,2499563
100,1,2533789
101,0,2524276
102,1,2568983
103,0,2522994
104,0,2505037
105,1,2536542
106,1,2544967
107,1,2541763
108,0,2509682
109,0,2496496
110,0,2494147
111,0,2506143
112,1,2549118
113,0,2527345
114,0,2524504
115,1,2541786
116,1,2558100
117,0,2504571
118,0,2520029
119,0,2502302
120,0,2537029
121,0,2492710
122,0,2529117
123,0,2503473
124,0,2520216
125,0,2505001
126,1,2548433
127,1,2525315
128,1,2581036
129,0,2500456
130,1,2563648
131,0,2502980
132,0,2524812
133,1,2528063
134,0,2534574
135,0,2513636
136,1,2568540
137,1,2546653
138,0,2527178
139,0,2520146
140,0,2510595
141,0,2512144
142,0,2507555
143,0,2520341
144,1,2561764
145,0,2503413
146,0,2500648
147,0,2516402
148,0,2551714
149,1,2535301
150,1,2526366
151,0,2504724
152,1,2522858
153,1,2540021
154,0,2498796
155,0,2501068
156,1,2535511
157,0,2528772
158,1,2537335
159,1,2553680
160,0,2498549
161,1,2583276
162,1,2555160
163,1,2572277
164,0,2506914
165,0,2513832
166,1,2538902
167,0,2511940
168,0,2521319
169,1,2539695
170,1,2539497
171,1,2537728
172,1,2558167
173,1,2575686
174,1,2544882
175,1,2526690
176,1,2541853
177,1,2540416
178,0,2512028
179,1,2566493
180,0,2507919
181,0,2510423
182,1,2543894
183,1,2533234
184,0,2504792
185,0,2498202
186,0,2513392
187,0,2498885
188,1,2562769
189,1,2541690
190,1,2534845
191,1,2541616
192,1,2549131
193,1,2549048
194,0,2509949
195,1,2531970
196,1,2539178
197,0,2503561
198,1,2537402
199,0,2500942
