sample,module,build_ns,install_ns,drop_ns
0,iter,60210,555399,3466
0,core,4527,11420,474
0,cmp,4984,16407,638
0,any,3842,3960,285
0,clone,2530,2589,221
0,num,2471,2370,211
0,hash,891,1468,187
0,string,15434,180606,1549
0,bytes,7098,34023,793
0,collections,1475,2283,266
0,collections::hash_map,13684,138074,850
0,collections::hash_set,12541,213730,881
0,collections::vec_deque,7912,80653,855
0,char,3087,9399,322
0,f64,11410,33667,1124
0,tuple,4652,18151,488
0,fmt,6579,6615,357
0,future,1000,2752,216
0,i64,9779,62820,802
0,u64,5860,25457,673
0,io,3283,4584,405
0,macros,206,614,156
0,macros::builtin,1339,2504,184
0,mem,2237,8185,341
0,object,7998,106559,1017
0,ops,45006,579790,4542
0,ops::generator,5740,46416,647
0,option,8083,108338,931
0,result,5382,22522,615
0,stream,1776,4139,295
0,test,2256,4632,295
0,vec,6567,25948,662
0,slice,1963,31217,299
3,iter,46094,535861,2920
3,core,4233,10829,447
3,cmp,4724,16104,672
3,any,1711,3885,279
3,clone,2347,2604,232
3,num,3318,2273,183
3,hash,515,1431,164
3,string,12488,176189,1485
3,bytes,6807,33613,764
3,collections,1348,2273,274
3,collections::hash_map,10297,133980,838
3,collections::hash_set,9802,218046,894
3,collections::vec_deque,7157,67090,889
3,char,2306,9226,370
3,f64,9672,32839,980
3,tuple,3930,18049,445
3,fmt,5071,6333,359
3,future,966,2679,207
3,i64,8589,60794,801
3,u64,5952,24658,571
3,io,3197,4696,366
3,macros,187,632,123
3,macros::builtin,1269,2453,182
3,mem,2119,7968,330
3,object,7680,106283,919
3,ops,41965,562949,4197
3,ops::generator,5504,46588,604
3,option,8111,103329,920
3,result,4770,21389,617
3,stream,1681,4197,271
3,test,2082,4550,285
3,vec,5749,25403,700
3,slice,1857,31123,270
6,iter,48040,531433,2841
6,core,3786,10764,402
6,cmp,4755,15609,595
6,any,2838,3769,274
6,clone,2104,2663,232
6,num,1904,2306,161
6,hash,527,1422,152
6,string,12134,175043,1435
6,bytes,6492,33126,754
6,collections,1389,2207,270
6,collections::hash_map,9143,137717,756
6,collections::hash_set,10030,215252,870
6,collections::vec_deque,7191,67346,824
6,char,2274,9393,276
6,f64,9861,34153,914
6,tuple,3686,17981,428
6,fmt,5086,6472,295
6,future,961,2645,195
6,i64,8341,61139,811
6,u64,5784,24563,609
6,io,3174,4571,340
6,macros,184,613,122
6,macros::builtin,1247,2418,185
6,mem,2163,8061,307
6,object,7936,104318,931
6,ops,42769,541322,3916
6,ops::generator,5344,45340,618
6,option,7851,105262,858
6,result,4711,21033,596
6,stream,1721,4102,275
6,test,2042,4504,277
6,vec,5931,25088,685
6,slice,1889,30248,256
7,iter,48039,532737,3007
7,core,3852,10571,469
7,cmp,4413,15862,677
7,any,1638,3725,311
7,clone,2218,2641,214
7,num,2709,2246,184
7,hash,527,1427,155
7,string,12323,176141,1520
7,bytes,6508,33143,766
7,collections,1373,2171,251
7,collections::hash_map,9767,139052,778
7,collections::hash_set,10054,214571,880
7,collections::vec_deque,7373,67575,856
7,char,2239,9406,305
7,f64,9749,32312,949
7,tuple,3868,17756,449
7,fmt,5031,6413,338
7,future,933,2628,229
7,i64,8745,60182,864
7,u64,6185,24145,589
7,io,3038,4558,386
7,macros,184,578,155
7,macros::builtin,1232,2330,205
7,mem,2063,7875,280
7,object,8228,105938,899
7,ops,42958,568896,4244
7,ops::generator,5433,45692,617
7,option,8002,102859,938
7,result,4831,21362,616
7,stream,1767,4188,268
7,test,2030,4400,305
7,vec,6076,25160,646
7,slice,1932,31116,283
9,iter,49907,528916,3952
9,core,4055,10911,406
9,cmp,4556,15806,633
9,any,1788,3810,278
9,clone,2256,2668,215
9,num,2736,2288,181
9,hash,536,1448,147
9,string,12896,176225,1617
9,bytes,6333,33457,655
9,collections,1379,2443,235
9,collections::hash_map,9280,134266,815
9,collections::hash_set,9734,216586,871
9,collections::vec_deque,7134,67322,811
9,char,2288,9622,286
9,f64,9919,32548,931
9,tuple,3750,17601,458
9,fmt,5017,6481,316
9,future,939,2521,198
9,i64,8756,59811,849
9,u64,6082,24100,638
9,io,3128,4549,315
9,macros,176,586,134
9,macros::builtin,1271,2273,168
9,mem,2234,8041,315
9,object,8202,104564,977
9,ops,44647,541038,4032
9,ops::generator,5200,45671,516
9,option,8215,104776,875
9,result,5043,21287,648
9,stream,1686,4139,283
9,test,2038,4489,275
9,vec,6409,25194,701
9,slice,1902,30881,255
10,iter,51308,534157,2893
10,core,3965,11003,409
10,cmp,4602,15877,620
10,any,2986,3747,298
10,clone,1099,2644,215
10,num,1831,2258,187
10,hash,515,1449,171
10,string,12253,176186,1495
10,bytes,6567,40843,992
10,collections,1405,2221,265
10,collections::hash_map,10713,134556,816
10,collections::hash_set,9863,206612,902
10,collections::vec_deque,7068,68056,807
10,char,2237,9376,333
10,f64,9667,32394,944
10,tuple,3651,17499,440
10,fmt,5153,6459,341
10,future,964,2636,208
10,i64,8816,60717,855
10,u64,5889,24399,642
10,io,3060,4640,326
10,macros,179,621,160
10,macros::builtin,1207,2329,152
10,mem,2141,7924,335
10,object,7690,104260,998
10,ops,43342,541424,4004
10,ops::generator,5383,45881,584
