sample,instrumented,context_ns
0,1,2575755
1,0,2568716
2,0,2567889
3,1,2583103
4,0,2564480
5,0,2563504
6,1,2594203
7,1,2572136
8,0,2572133
9,1,2589452
10,1,2586205
11,0,2537026
12,0,2527581
13,1,2586745
14,0,2538637
15,0,2538809
16,0,2546740
17,0,2546807
18,1,2566509
19,1,2555689
20,1,2563292
21,0,2554804
22,1,2570929
23,0,2570122
24,0,2539309
25,1,2604877
26,0,2569812
27,1,2593772
28,1,2582152
29,0,2556348
30,0,2533745
31,1,2568376
32,0,2540410
33,1,2571042
34,0,2545339
35,1,2571674
36,0,2559466
37,0,2574800
38,0,2570263
39,1,2570803
40,1,2583888
41,1,2578230
42,1,2566070
43,0,2558380
44,0,2545704
45,0,2575950
46,0,2535855
47,0,2565330
48,1,2573621
49,1,2575441
50,1,2569361
51,1,2588878
52,0,2550933
53,0,2538804
54,0,2547024
55,1,2628584
56,1,2561473
57,0,2538264
58,0,2556149
59,1,2557970
60,1,2563166
61,0,2593781
62,1,2564823
63,1,2597180
64,1,2571143
65,0,2563335
66,1,2581540
67,1,2569849
68,1,2565483
69,1,2564713
70,1,2577058
71,0,2544878
72,1,2573249
73,1,2570357
74,0,2540074
75,0,2562780
76,0,2558801
77,1,2571632
78,0,2546299
79,1,2573849
80,1,2581022
81,1,2579227
82,1,2579088
83,0,2539323
84,0,2538099
85,0,2535798
86,1,2570759
87,1,2664710
88,1,2571651
89,0,2541924
90,1,2580219
91,0,2544021
92,1,2566942
93,0,2550044
94,0,2566504
95,0,2542373
96,1,2626573
97,1,2587722
98,1,2584745
99,0,2551336
100,1,2578155
101,0,2562257
102,1,2590532
103,0,2528228
104,0,2565694
105,1,2570924
106,1,2586164
107,1,2567311
108,0,2573581
109,0,2542241
110,0,2573790
111,0,2548995
112,1,2597131
113,0,2546627
114,0,2578919
115,1,2613011
116,1,2581309
117,0,2547063
118,0,2540530
119,0,2537373
120,0,2571464
121,0,2540927
122,0,2537732
123,0,2552409
124,0,2542937
125,0,2529811
126,1,2562397
127,1,2584731
128,1,2563537
129,0,2557805
130,1,2564444
131,0,2541505
132,0,2569837
133,1,2575128
134,0,2545335
135,0,2569508
136,1,2584867
137,1,2596159
138,0,2542883
139,0,2548073
140,0,2552714
141,0,2554209
142,0,2653163
143,0,2585476
144,1,2585277
145,0,2576014
146,0,2573122
147,0,2539194
148,0,2562212
149,1,2581418
150,1,2585622
151,0,2536931
152,1,2600327
153,1,2573791
154,0,2564384
155,0,2541326
156,1,2608430
157,0,2549376
158,1,2589229
159,1,2583378
160,0,2575252
161,1,2598417
162,1,2608249
163,1,2591433
164,0,2571625
165,0,2600281
166,1,2561594
167,0,2556263
168,0,2575133
169,1,2563341
170,1,2602081
171,1,2604626
172,1,2593113
173,1,2574049
174,1,2573232
175,1,2593544
176,1,2589457
177,1,2574470
178,0,2566731
179,1,2596421
180,0,2543754
181,0,2581538
182,1,2588138
183,1,2610385
184,0,2557477
185,0,2555046
186,0,2567356
187,0,2542134
188,1,2594159
189,1,2587674
190,1,2597505
191,1,2572910
192,1,2599699
193,1,2610535
194,0,2564743
195,1,2604304
196,1,2567028
197,0,2575702
198,1,2557517
199,0,2564279
