sample,module,stage,entries,ns,functions_added,metadata_added
0,::std::iter,identity,1,415,0,0
0,::std::iter,module,1,2701,0,3
0,::std::iter,types,12,19579,0,12
0,::std::iter,traits,3,26947,0,38
0,::std::iter,items,3,3020,3,3
0,::std::iter,associated,43,12433,44,43
0,::std::iter,trait_impls,31,466472,891,464
0,::std::iter,reexports,0,37,0,0
0,::std::iter,construct,0,40,0,0
0,::std::ops,identity,1,98,0,0
0,::std::ops,module,1,667,0,1
0,::std::ops,types,17,18758,7,19
0,::std::ops,traits,0,52,0,0
0,::std::ops,items,5,3408,5,5
0,::std::ops,associated,86,19693,95,86
0,::std::ops,trait_impls,47,498189,808,434
0,::std::ops,reexports,2,874,0,2
0,::std::ops,construct,0,39,0,0
3,::std::iter,identity,1,434,0,0
3,::std::iter,module,1,2623,0,3
3,::std::iter,types,12,22242,0,12
3,::std::iter,traits,3,27094,0,38
3,::std::iter,items,3,3090,3,3
3,::std::iter,associated,43,11083,44,43
3,::std::iter,trait_impls,31,466654,891,464
3,::std::iter,reexports,0,37,0,0
3,::std::iter,construct,0,36,0,0
3,::std::ops,identity,1,107,0,0
3,::std::ops,module,1,677,0,1
3,::std::ops,types,17,18820,7,19
3,::std::ops,traits,0,21,0,0
3,::std::ops,items,5,3427,5,5
3,::std::ops,associated,86,19964,95,86
3,::std::ops,trait_impls,47,500732,808,434
3,::std::ops,reexports,2,827,0,2
3,::std::ops,construct,0,37,0,0
6,::std::iter,identity,1,419,0,0
6,::std::iter,module,1,2687,0,3
6,::std::iter,types,12,20639,0,12
6,::std::iter,traits,3,27483,0,38
6,::std::iter,items,3,3034,3,3
6,::std::iter,associated,43,10877,44,43
6,::std::iter,trait_impls,31,467474,891,464
6,::std::iter,reexports,0,37,0,0
6,::std::iter,construct,0,42,0,0
6,::std::ops,identity,1,96,0,0
6,::std::ops,module,1,628,0,1
6,::std::ops,types,17,20533,7,19
6,::std::ops,traits,0,48,0,0
6,::std::ops,items,5,3465,5,5
6,::std::ops,associated,86,20045,95,86
6,::std::ops,trait_impls,47,497780,808,434
6,::std::ops,reexports,2,919,0,2
6,::std::ops,construct,0,28,0,0
7,::std::iter,identity,1,428,0,0
7,::std::iter,module,1,2615,0,3
7,::std::iter,types,12,20702,0,12
7,::std::iter,traits,3,27152,0,38
7,::std::iter,items,3,2949,3,3
7,::std::iter,associated,43,11094,44,43
7,::std::iter,trait_impls,31,465411,891,464
7,::std::iter,reexports,0,38,0,0
7,::std::iter,construct,0,36,0,0
7,::std::ops,identity,1,145,0,0
7,::std::ops,module,1,576,0,1
7,::std::ops,types,17,22615,7,19
7,::std::ops,traits,0,35,0,0
7,::std::ops,items,5,3464,5,5
7,::std::ops,associated,86,20047,95,86
7,::std::ops,trait_impls,47,497015,808,434
7,::std::ops,reexports,2,915,0,2
7,::std::ops,construct,0,30,0,0
9,::std::iter,identity,1,1463,0,0
9,::std::iter,module,1,2671,0,3
9,::std::iter,types,12,18533,0,12
9,::std::iter,traits,3,27358,0,38
9,::std::iter,items,3,3057,3,3
9,::std::iter,associated,43,12533,44,43
9,::std::iter,trait_impls,31,468885,891,464
9,::std::iter,reexports,0,39,0,0
9,::std::iter,construct,0,37,0,0
9,::std::ops,identity,1,92,0,0
9,::std::ops,module,1,679,0,1
9,::std::ops,types,17,18773,7,19
9,::std::ops,traits,0,56,0,0
9,::std::ops,items,5,3458,5,5
9,::std::ops,associated,86,19633,95,86
9,::std::ops,trait_impls,47,497886,808,434
9,::std::ops,reexports,2,860,0,2
9,::std::ops,construct,0,36,0,0
10,::std::iter,identity,1,412,0,0
10,::std::iter,module,1,2526,0,3
10,::std::iter,types,12,20335,0,12
10,::std::iter,traits,3,27473,0,38
10,::std::iter,items,3,3180,3,3
10,::std::iter,associated,43,10981,44,43
10,::std::iter,trait_impls,31,469932,891,464
10,::std::iter,reexports,0,36,0,0
10,::std::iter,construct,0,40,0,0
10,::std::ops,identity,1,99,0,0
10,::std::ops,module,1,651,0,1
10,::std::ops,types,17,20313,7,19
10,::std::ops,traits,0,57,0,0
10,::std::ops,items,5,3427,5,5
10,::std::ops,associated,86,20318,95,86
10,::std::ops,trait_impls,47,498726,808,434
10,::std::ops,reexports,2,945,0,2
10,::std::ops,construct,0,31,0,0
13,::std::iter,identity,1,1511,0,0
13,::std::iter,module,1,2614,0,3
13,::std::iter,types,12,19512,0,12
13,::std::iter,traits,3,27478,0,38
13,::std::iter,items,3,3076,3,3
13,::std::iter,associated,43,12782,44,43
13,::std::iter,trait_impls,31,469291,891,464
13,::std::iter,reexports,0,39,0,0
13,::std::iter,construct,0,35,0,0
13,::std::ops,identity,1,105,0,0
13,::std::ops,module,1,657,0,1
13,::std::ops,types,17,19352,7,19
13,::std::ops,traits,0,56,0,0
13,::std::ops,items,5,3392,5,5
13,::std::ops,associated,86,20167,95,86
13,::std::ops,trait_impls,47,503689,808,434
13,::std::ops,reexports,2,930,0,2
13,::std::ops,construct,0,35,0,0
18,::std::iter,identity,1,453,0,0
18,::std::iter,module,1,3458,0,3
18,::std::iter,types,12,18621,0,12
18,::std::iter,traits,3,27311,0,38
18,::std::iter,items,3,3074,3,3
18,::std::iter,associated,43,10911,44,43
18,::std::iter,trait_impls,31,467991,891,464
18,::std::iter,reexports,0,37,0,0
18,::std::iter,construct,0,38,0,0
18,::std::ops,identity,1,103,0,0
18,::std::ops,module,1,656,0,1
18,::std::ops,types,17,20198,7,19
18,::std::ops,traits,0,20,0,0
18,::std::ops,items,5,3405,5,5
18,::std::ops,associated,86,20101,95,86
18,::std::ops,trait_impls,47,498644,808,434
18,::std::ops,reexports,2,880,0,2
18,::std::ops,construct,0,34,0,0
19,::std::iter,identity,1,434,0,0
19,::std::iter,module,1,2730,0,3
19,::std::iter,types,12,20092,0,12
19,::std::iter,traits,3,27746,0,38
19,::std::iter,items,3,3021,3,3
19,::std::iter,associated,43,10850,44,43
19,::std::iter,trait_impls,31,468169,891,464
19,::std::iter,reexports,0,37,0,0
19,::std::iter,construct,0,37,0,0
19,::std::ops,identity,1,81,0,0
19,::std::ops,module,1,608,0,1
19,::std::ops,types,17,18681,7,19
19,::std::ops,traits,0,34,0,0
19,::std::ops,items,5,3452,5,5
19,::std::ops,associated,86,20183,95,86
19,::std::ops,trait_impls,47,498474,808,434
19,::std::ops,reexports,2,894,0,2
19,::std::ops,construct,0,33,0,0
20,::std::iter,identity,1,425,0,0
20,::std::iter,module,1,3746,0,3
20,::std::iter,types,12,19742,0,12
20,::std::iter,traits,3,29087,0,38
20,::std::iter,items,3,3045,3,3
20,::std::iter,associated,43,10967,44,43
20,::std::iter,trait_impls,31,468765,891,464
20,::std::iter,reexports,0,37,0,0
20,::std::iter,construct,0,38,0,0
20,::std::ops,identity,1,84,0,0
20,::std::ops,module,1,681,0,1
20,::std::ops,types,17,18733,7,19
20,::std::ops,traits,0,51,0,0
20,::std::ops,items,5,3447,5,5
20,::std::ops,associated,86,20281,95,86
20,::std::ops,trait_impls,47,500800,808,434
20,::std::ops,reexports,2,883,0,2
20,::std::ops,construct,0,37,0,0
22,::std::iter,identity,1,439,0,0
22,::std::iter,module,1,2734,0,3
22,::std::iter,types,12,20222,0,12
22,::std::iter,traits,3,27528,0,38
22,::std::iter,items,3,3180,3,3
22,::std::iter,associated,43,11031,44,43
22,::std::iter,trait_impls,31,470956,891,464
22,::std::iter,reexports,0,37,0,0
22,::std::iter,construct,0,37,0,0
22,::std::ops,identity,1,92,0,0
22,::std::ops,module,1,669,0,1
22,::std::ops,types,17,18991,7,19
22,::std::ops,traits,0,36,0,0
22,::std::ops,items,5,3386,5,5
22,::std::ops,associated,86,19936,95,86
22,::std::ops,trait_impls,47,502842,808,434
22,::std::ops,reexports,2,924,0,2
22,::std::ops,construct,0,32,0,0
25,::std::iter,identity,1,433,0,0
25,::std::iter,module,1,3678,0,3
25,::std::iter,types,12,20615,0,12
25,::std::iter,traits,3,29258,0,38
25,::std::iter,items,3,3041,3,3
25,::std::iter,associated,43,11111,44,43
25,::std::iter,trait_impls,31,469825,891,464
