sample,context_ns
0,2646409
1,2638901
2,2656348
3,2790899
4,2647536
5,2662501
6,2648085
7,2665573
8,2666243
9,2665232
10,2659553
11,2668631
12,2668214
13,2652474
14,2687590
15,2679732
16,2668289
17,2667445
18,2663409
19,2656269
20,2668529
21,2666919
22,2659107
23,2684137
24,2673026
25,2664825
26,2660758
27,2666348
28,2718859
29,2657311
30,2688146
31,2670828
32,2639419
33,2708660
34,2677662
35,2651471
36,2680644
37,2665705
38,2677886
39,2681103
40,2647112
41,2665294
42,2634420
43,2680636
44,2656822
45,2672193
46,2660203
47,2661889
48,2653433
49,2648659
50,2648069
51,2660073
52,2659142
53,2661342
54,2670142
55,2676416
56,2694560
57,2669080
58,2678138
59,2671849
60,2653201
61,2655979
62,2647066
63,2695273
64,2697044
65,2668700
66,2669543
67,2655228
68,2674454
69,2665671
70,2671603
71,2684649
72,2672906
73,2644471
74,2654307
75,2659591
76,2647338
77,2655307
78,2645484
79,2665866
80,2695263
81,2647977
82,2640424
83,2652287
84,2639372
85,2651015
86,2657934
87,2670671
88,2672216
89,2682844
90,2664647
91,2686571
92,2673416
93,2658767
94,2669429
95,2677669
96,2682684
97,2696527
98,2676446
99,2692636
