sample,module,index,type,trait,ns,functions_added,metadata_added
0,::std::iter,0,::std::iter::Rev,::std::iter::Iterator,43345,66,34
0,::std::iter,1,::std::iter::Rev,::std::iter::DoubleEndedIterator,3132,7,4
0,::std::iter,2,::std::iter::Rev,::std::iter::ExactSizeIterator,857,2,1
0,::std::iter,3,::std::iter::Chain,::std::iter::Iterator,30820,66,34
0,::std::iter,4,::std::iter::Chain,::std::iter::DoubleEndedIterator,2832,7,4
0,::std::iter,5,::std::iter::Chain,::std::iter::ExactSizeIterator,871,2,1
0,::std::iter,6,::std::iter::Enumerate,::std::iter::Iterator,40558,66,34
0,::std::iter,7,::std::iter::Enumerate,::std::iter::DoubleEndedIterator,2741,7,4
0,::std::iter,8,::std::iter::Enumerate,::std::iter::ExactSizeIterator,915,2,1
0,::std::iter,9,::std::iter::Filter,::std::iter::Iterator,31251,66,34
0,::std::iter,10,::std::iter::Filter,::std::iter::DoubleEndedIterator,2883,7,4
0,::std::iter,11,::std::iter::Map,::std::iter::Iterator,32928,66,34
0,::std::iter,12,::std::iter::Map,::std::iter::DoubleEndedIterator,2652,7,4
0,::std::iter,13,::std::iter::Map,::std::iter::ExactSizeIterator,1646,2,1
0,::std::iter,14,::std::iter::FilterMap,::std::iter::Iterator,40747,67,35
0,::std::iter,15,::std::iter::FilterMap,::std::iter::DoubleEndedIterator,3390,7,4
0,::std::iter,16,::std::iter::FlatMap,::std::iter::Iterator,25831,66,34
0,::std::iter,17,::std::iter::FlatMap,::std::iter::DoubleEndedIterator,12300,7,4
0,::std::iter,18,::std::iter::Peekable,::std::iter::Iterator,26006,66,34
0,::std::iter,19,::std::iter::Peekable,::std::iter::DoubleEndedIterator,2658,7,4
0,::std::iter,20,::std::iter::Peekable,::std::iter::ExactSizeIterator,822,2,1
0,::std::iter,21,::std::iter::Skip,::std::iter::Iterator,26152,66,34
0,::std::iter,22,::std::iter::Skip,::std::iter::DoubleEndedIterator,3848,7,4
0,::std::iter,23,::std::iter::Skip,::std::iter::ExactSizeIterator,977,2,1
0,::std::iter,24,::std::iter::Take,::std::iter::Iterator,34340,66,34
0,::std::iter,25,::std::iter::Take,::std::iter::DoubleEndedIterator,2592,7,4
0,::std::iter,26,::std::iter::Take,::std::iter::ExactSizeIterator,728,2,1
0,::std::iter,27,::std::iter::Empty,::std::iter::Iterator,44728,66,34
0,::std::iter,28,::std::iter::Empty,::std::iter::DoubleEndedIterator,2442,7,4
0,::std::iter,29,::std::iter::Once,::std::iter::Iterator,47100,66,34
0,::std::iter,30,::std::iter::Once,::std::iter::DoubleEndedIterator,2377,7,4
0,::std::ops,0,::std::ops::RangeFrom,::std::cmp::PartialEq,1930,4,2
0,::std::ops,1,::std::ops::RangeFrom,::std::cmp::Eq,108,0,0
0,::std::ops,2,::std::ops::RangeFrom,::std::cmp::PartialOrd,5577,14,9
0,::std::ops,3,::std::ops::RangeFrom,::std::cmp::Ord,2928,8,5
0,::std::ops,4,::std::ops::RangeFromIter,::std::iter::Iterator,68717,66,34
0,::std::ops,5,::std::ops::RangeFromIter,::std::iter::Iterator,28014,66,34
0,::std::ops,6,::std::ops::RangeFromIter,::std::iter::Iterator,27547,66,34
0,::std::ops,7,::std::ops::RangeFull,::std::cmp::PartialEq,1863,4,2
0,::std::ops,8,::std::ops::RangeFull,::std::cmp::Eq,85,0,0
0,::std::ops,9,::std::ops::RangeFull,::std::cmp::PartialOrd,4892,14,9
0,::std::ops,10,::std::ops::RangeFull,::std::cmp::Ord,2725,8,5
0,::std::ops,11,::std::ops::RangeInclusive,::std::cmp::PartialEq,1720,4,2
0,::std::ops,12,::std::ops::RangeInclusive,::std::cmp::Eq,47,0,0
0,::std::ops,13,::std::ops::RangeInclusive,::std::cmp::PartialOrd,5256,14,9
0,::std::ops,14,::std::ops::RangeInclusive,::std::cmp::Ord,2754,8,5
0,::std::ops,15,::std::ops::RangeInclusiveIter,::std::iter::Iterator,26297,66,34
0,::std::ops,16,::std::ops::RangeInclusiveIter,::std::iter::Iterator,26076,66,34
0,::std::ops,17,::std::ops::RangeInclusiveIter,::std::iter::Iterator,25866,66,34
0,::std::ops,18,::std::ops::RangeInclusiveIter,::std::iter::DoubleEndedIterator,5119,7,4
0,::std::ops,19,::std::ops::RangeInclusiveIter,::std::iter::ExactSizeIterator,864,2,1
0,::std::ops,20,::std::ops::RangeInclusiveIter,::std::iter::DoubleEndedIterator,2571,7,4
0,::std::ops,21,::std::ops::RangeInclusiveIter,::std::iter::ExactSizeIterator,803,2,1
0,::std::ops,22,::std::ops::RangeInclusiveIter,::std::iter::DoubleEndedIterator,2525,7,4
0,::std::ops,23,::std::ops::RangeToInclusive,::std::cmp::PartialEq,1746,4,2
0,::std::ops,24,::std::ops::RangeToInclusive,::std::cmp::Eq,50,0,0
0,::std::ops,25,::std::ops::RangeToInclusive,::std::cmp::PartialOrd,4359,14,9
0,::std::ops,26,::std::ops::RangeToInclusive,::std::cmp::Ord,2748,8,5
0,::std::ops,27,::std::ops::RangeTo,::std::cmp::PartialEq,1843,4,2
0,::std::ops,28,::std::ops::RangeTo,::std::cmp::Eq,68,0,0
0,::std::ops,29,::std::ops::RangeTo,::std::cmp::PartialOrd,5030,14,9
0,::std::ops,30,::std::ops::RangeTo,::std::cmp::Ord,65506,8,5
0,::std::ops,31,::std::ops::Range,::std::cmp::PartialEq,1904,4,2
0,::std::ops,32,::std::ops::Range,::std::cmp::Eq,59,0,0
0,::std::ops,33,::std::ops::Range,::std::cmp::PartialOrd,5495,14,9
0,::std::ops,34,::std::ops::Range,::std::cmp::Ord,3337,8,5
0,::std::ops,35,::std::ops::RangeIter,::std::iter::Iterator,30500,66,34
0,::std::ops,36,::std::ops::RangeIter,::std::iter::Iterator,30271,66,34
0,::std::ops,37,::std::ops::RangeIter,::std::iter::Iterator,28545,66,34
0,::std::ops,38,::std::ops::RangeIter,::std::iter::DoubleEndedIterator,3371,7,4
0,::std::ops,39,::std::ops::RangeIter,::std::iter::ExactSizeIterator,998,2,1
0,::std::ops,40,::std::ops::RangeIter,::std::iter::DoubleEndedIterator,2686,7,4
0,::std::ops,41,::std::ops::RangeIter,::std::iter::ExactSizeIterator,819,2,1
0,::std::ops,42,::std::ops::RangeIter,::std::iter::DoubleEndedIterator,2497,7,4
0,::std::ops,43,::std::ops::ControlFlow,::std::cmp::PartialEq,57913,4,2
0,::std::ops,44,::std::ops::ControlFlow,::std::cmp::Eq,60,0,0
0,::std::ops,45,::std::ops::ControlFlow,::std::clone::Clone,991,2,1
0,::std::ops,46,::std::ops::Function,::std::clone::Clone,968,2,1
1,::std::iter,0,::std::iter::Rev,::std::iter::Iterator,44840,66,34
1,::std::iter,1,::std::iter::Rev,::std::iter::DoubleEndedIterator,3306,7,4
1,::std::iter,2,::std::iter::Rev,::std::iter::ExactSizeIterator,793,2,1
1,::std::iter,3,::std::iter::Chain,::std::iter::Iterator,29808,66,34
1,::std::iter,4,::std::iter::Chain,::std::iter::DoubleEndedIterator,2798,7,4
1,::std::iter,5,::std::iter::Chain,::std::iter::ExactSizeIterator,847,2,1
1,::std::iter,6,::std::iter::Enumerate,::std::iter::Iterator,40721,66,34
1,::std::iter,7,::std::iter::Enumerate,::std::iter::DoubleEndedIterator,2843,7,4
1,::std::iter,8,::std::iter::Enumerate,::std::iter::ExactSizeIterator,845,2,1
1,::std::iter,9,::std::iter::Filter,::std::iter::Iterator,30227,66,34
1,::std::iter,10,::std::iter::Filter,::std::iter::DoubleEndedIterator,2899,7,4
1,::std::iter,11,::std::iter::Map,::std::iter::Iterator,34994,66,34
1,::std::iter,12,::std::iter::Map,::std::iter::DoubleEndedIterator,2659,7,4
1,::std::iter,13,::std::iter::Map,::std::iter::ExactSizeIterator,1603,2,1
1,::std::iter,14,::std::iter::FilterMap,::std::iter::Iterator,40409,67,35
1,::std::iter,15,::std::iter::FilterMap,::std::iter::DoubleEndedIterator,3407,7,4
1,::std::iter,16,::std::iter::FlatMap,::std::iter::Iterator,26390,66,34
1,::std::iter,17,::std::iter::FlatMap,::std::iter::DoubleEndedIterator,10366,7,4
1,::std::iter,18,::std::iter::Peekable,::std::iter::Iterator,30118,66,34
1,::std::iter,19,::std::iter::Peekable,::std::iter::DoubleEndedIterator,2623,7,4
1,::std::iter,20,::std::iter::Peekable,::std::iter::ExactSizeIterator,809,2,1
1,::std::iter,21,::std::iter::Skip,::std::iter::Iterator,26411,66,34
1,::std::iter,22,::std::iter::Skip,::std::iter::DoubleEndedIterator,3740,7,4
1,::std::iter,23,::std::iter::Skip,::std::iter::ExactSizeIterator,971,2,1
1,::std::iter,24,::std::iter::Take,::std::iter::Iterator,35312,66,34
1,::std::iter,25,::std::iter::Take,::std::iter::DoubleEndedIterator,2608,7,4
1,::std::iter,26,::std::iter::Take,::std::iter::ExactSizeIterator,722,2,1
1,::std::iter,27,::std::iter::Empty,::std::iter::Iterator,45348,66,34
1,::std::iter,28,::std::iter::Empty,::std::iter::DoubleEndedIterator,2505,7,4
1,::std::iter,29,::std::iter::Once,::std::iter::Iterator,42112,66,34
1,::std::iter,30,::std::iter::Once,::std::iter::DoubleEndedIterator,2438,7,4
1,::std::ops,0,::std::ops::RangeFrom,::std::cmp::PartialEq,1958,4,2
1,::std::ops,1,::std::ops::RangeFrom,::std::cmp::Eq,81,0,0
1,::std::ops,2,::std::ops::RangeFrom,::std::cmp::PartialOrd,5495,14,9
1,::std::ops,3,::std::ops::RangeFrom,::std::cmp::Ord,2961,8,5
1,::std::ops,4,::std::ops::RangeFromIter,::std::iter::Iterator,68752,66,34
1,::std::ops,5,::std::ops::RangeFromIter,::std::iter::Iterator,27985,66,34
1,::std::ops,6,::std::ops::RangeFromIter,::std::iter::Iterator,27080,66,34
1,::std::ops,7,::std::ops::RangeFull,::std::cmp::PartialEq,1858,4,2
1,::std::ops,8,::std::ops::RangeFull,::std::cmp::Eq,58,0,0
1,::std::ops,9,::std::ops::RangeFull,::std::cmp::PartialOrd,4947,14,9
1,::std::ops,10,::std::ops::RangeFull,::std::cmp::Ord,2661,8,5
1,::std::ops,11,::std::ops::RangeInclusive,::std::cmp::PartialEq,1773,4,2
1,::std::ops,12,::std::ops::RangeInclusive,::std::cmp::Eq,55,0,0
1,::std::ops,13,::std::ops::RangeInclusive,::std::cmp::PartialOrd,5311,14,9
1,::std::ops,14,::std::ops::RangeInclusive,::std::cmp::Ord,2781,8,5
1,::std::ops,15,::std::ops::RangeInclusiveIter,::std::iter::Iterator,26118,66,34
1,::std::ops,16,::std::ops::RangeInclusiveIter,::std::iter::Iterator,25777,66,34
