iteration,nanoseconds,characters,bytes
0,32799,10000,10639
1,31217,10000,10639
2,31232,10000,10639
3,30894,10000,10639
4,31206,10000,10639
5,31157,10000,10639
6,31494,10000,10639
7,36812,10000,10639
8,32022,10000,10639
9,31025,10000,10639
10,34214,10000,10639
11,45718,10000,10639
12,50791,10000,10639
13,37346,10000,10639
14,46090,10000,10639
15,46487,10000,10639
16,46141,10000,10639
17,47892,10000,10639
18,45949,10000,10639
19,46139,10000,10639
20,52546,10000,10639
21,46897,10000,10639
22,46117,10000,10639
23,46726,10000,10639
24,47805,10000,10639
25,47432,10000,10639
26,47072,10000,10639
27,45859,10000,10639
28,49831,10000,10639
29,46895,10000,10639
30,47827,10000,10639
31,47986,10000,10639
32,48263,10000,10639
33,47667,10000,10639
34,46472,10000,10639
35,41362,10000,10639
36,45361,10000,10639
37,35731,10000,10639
38,32549,10000,10639
39,31561,10000,10639
40,32124,10000,10639
41,31364,10000,10639
42,35511,10000,10639
43,30695,10000,10639
44,31225,10000,10639
45,31349,10000,10639
46,31669,10000,10639
47,31951,10000,10639
48,32346,10000,10639
49,32009,10000,10639
50,31220,10000,10639
51,30982,10000,10639
52,31467,10000,10639
53,30729,10000,10639
54,32036,10000,10639
55,30879,10000,10639
56,32016,10000,10639
57,31206,10000,10639
58,30668,10000,10639
59,30823,10000,10639
60,30760,10000,10639
61,30897,10000,10639
62,30956,10000,10639
63,30314,10000,10639
64,31745,10000,10639
65,30734,10000,10639
66,30954,10000,10639
67,30824,10000,10639
68,30667,10000,10639
69,31710,10000,10639
70,31409,10000,10639
71,30967,10000,10639
72,32944,10000,10639
73,30616,10000,10639
74,31585,10000,10639
75,31473,10000,10639
76,31188,10000,10639
77,31051,10000,10639
78,61445,10000,10639
79,37891,10000,10639
80,39612,10000,10639
81,36298,10000,10639
82,37392,10000,10639
83,36327,10000,10639
84,36622,10000,10639
85,34431,10000,10639
86,31110,10000,10639
87,30557,10000,10639
88,30618,10000,10639
89,30514,10000,10639
90,31396,10000,10639
91,30694,10000,10639
92,31459,10000,10639
93,31511,10000,10639
94,31082,10000,10639
95,31211,10000,10639
96,31949,10000,10639
97,31666,10000,10639
98,30494,10000,10639
99,30580,10000,10639
100,30815,10000,10639
101,33704,10000,10639
102,31476,10000,10639
103,30820,10000,10639
104,30955,10000,10639
105,31085,10000,10639
106,31114,10000,10639
107,30925,10000,10639
108,30380,10000,10639
109,30717,10000,10639
110,30932,10000,10639
111,31055,10000,10639
112,30704,10000,10639
113,31221,10000,10639
114,31444,10000,10639
115,31086,10000,10639
116,31454,10000,10639
117,30829,10000,10639
118,30828,10000,10639
119,31381,10000,10639
120,30876,10000,10639
121,31316,10000,10639
122,30511,10000,10639
123,30758,10000,10639
124,30870,10000,10639
125,31952,10000,10639
126,30829,10000,10639
127,31367,10000,10639
128,31683,10000,10639
129,31160,10000,10639
130,31050,10000,10639
131,31111,10000,10639
132,32348,10000,10639
133,31331,10000,10639
134,30719,10000,10639
135,31103,10000,10639
136,31487,10000,10639
137,30517,10000,10639
138,30595,10000,10639
139,31081,10000,10639
140,30640,10000,10639
141,31231,10000,10639
142,31454,10000,10639
143,31279,10000,10639
144,30643,10000,10639
145,32012,10000,10639
146,31412,10000,10639
147,31173,10000,10639
148,30996,10000,10639
149,30723,10000,10639
150,31013,10000,10639
151,31190,10000,10639
152,31054,10000,10639
153,31615,10000,10639
154,31088,10000,10639
155,31701,10000,10639
156,31005,10000,10639
157,30854,10000,10639
158,30873,10000,10639
159,30781,10000,10639
160,30462,10000,10639
161,30930,10000,10639
162,33625,10000,10639
163,30765,10000,10639
164,31304,10000,10639
165,30866,10000,10639
166,30744,10000,10639
167,31461,10000,10639
168,30990,10000,10639
169,31531,10000,10639
170,30627,10000,10639
171,30923,10000,10639
172,31317,10000,10639
173,30728,10000,10639
174,31303,10000,10639
175,31472,10000,10639
176,31106,10000,10639
177,31230,10000,10639
178,31109,10000,10639
179,31078,10000,10639
180,31145,10000,10639
181,31111,10000,10639
182,31000,10000,10639
183,32031,10000,10639
184,30942,10000,10639
185,31479,10000,10639
186,31912,10000,10639
187,30879,10000,10639
188,30937,10000,10639
189,31228,10000,10639
190,31786,10000,10639
191,30577,10000,10639
192,31248,10000,10639
193,32644,10000,10639
194,30574,10000,10639
195,30905,10000,10639
196,31156,10000,10639
197,31431,10000,10639
198,30778,10000,10639
199,30702,10000,10639
200,31471,10000,10639
201,30948,10000,10639
202,30785,10000,10639
203,30968,10000,10639
204,31443,10000,10639
205,30659,10000,10639
206,31141,10000,10639
207,31552,10000,10639
208,31547,10000,10639
209,30836,10000,10639
210,30970,10000,10639
211,31323,10000,10639
212,30918,10000,10639
213,31093,10000,10639
214,30855,10000,10639
215,31044,10000,10639
216,31004,10000,10639
217,30636,10000,10639
218,31301,10000,10639
219,31328,10000,10639
220,30635,10000,10639
221,30867,10000,10639
222,30698,10000,10639
223,31100,10000,10639
224,32996,10000,10639
225,31044,10000,10639
226,30851,10000,10639
227,31699,10000,10639
228,31055,10000,10639
229,30882,10000,10639
230,31093,10000,10639
231,30504,10000,10639
232,30807,10000,10639
233,31893,10000,10639
234,31106,10000,10639
235,30996,10000,10639
236,31504,10000,10639
237,31574,10000,10639
238,30924,10000,10639
239,31453,10000,10639
240,30603,10000,10639
241,31542,10000,10639
242,31427,10000,10639
243,31754,10000,10639
244,30585,10000,10639
245,31684,10000,10639
246,30973,10000,10639
247,32568,10000,10639
248,31281,10000,10639
249,30853,10000,10639
250,31470,10000,10639
251,30983,10000,10639
252,30758,10000,10639
253,30778,10000,10639
254,32741,10000,10639
255,30655,10000,10639
256,31759,10000,10639
257,31112,10000,10639
258,31623,10000,10639
259,30915,10000,10639
260,31946,10000,10639
261,30806,10000,10639
262,31142,10000,10639
263,30739,10000,10639
264,31231,10000,10639
265,30726,10000,10639
266,30729,10000,10639
267,31950,10000,10639
268,30811,10000,10639
269,31032,10000,10639
270,31292,10000,10639
271,30832,10000,10639
272,30904,10000,10639
273,31998,10000,10639
274,31099,10000,10639
275,31321,10000,10639
276,30967,10000,10639
277,31279,10000,10639
278,30719,10000,10639
279,31071,10000,10639
280,30968,10000,10639
281,30732,10000,10639
282,31012,10000,10639
283,30617,10000,10639
284,30753,10000,10639
285,41142,10000,10639
286,30958,10000,10639
287,31491,10000,10639
288,31168,10000,10639
289,31342,10000,10639
290,31161,10000,10639
291,31359,10000,10639
292,31297,10000,10639
293,31527,10000,10639
294,30843,10000,10639
295,31457,10000,10639
296,31490,10000,10639
297,31782,10000,10639
298,31618,10000,10639
299,31068,10000,10639
300,31553,10000,10639
301,31227,10000,10639
302,30777,10000,10639
303,30816,10000,10639
304,31148,10000,10639
305,31713,10000,10639
306,30965,10000,10639
307,31719,10000,10639
308,31149,10000,10639
309,31478,10000,10639
310,31173,10000,10639
311,31609,10000,10639
312,31164,10000,10639
313,31525,10000,10639
314,31109,10000,10639
315,31612,10000,10639
316,30879,10000,10639
317,31449,10000,10639
318,31280,10000,10639
319,31468,10000,10639
320,30831,10000,10639
321,31311,10000,10639
322,30683,10000,10639
323,31102,10000,10639
324,30922,10000,10639
325,30856,10000,10639
326,31317,10000,10639
327,31104,10000,10639
328,30473,10000,10639
329,31634,10000,10639
330,31058,10000,10639
331,31478,10000,10639
332,31783,10000,10639
333,31399,10000,10639
334,31319,10000,10639
335,32207,10000,10639
336,31757,10000,10639
337,31663,10000,10639
338,31418,10000,10639
339,32184,10000,10639
340,31422,10000,10639
341,31123,10000,10639
342,32247,10000,10639
343,31637,10000,10639
344,31727,10000,10639
345,31511,10000,10639
346,32294,10000,10639
347,30980,10000,10639
348,31176,10000,10639
349,31782,10000,10639
350,31162,10000,10639
351,30509,10000,10639
352,31442,10000,10639
353,31707,10000,10639
354,30721,10000,10639
355,30937,10000,10639
356,30921,10000,10639
357,31579,10000,10639
358,31167,10000,10639
359,30841,10000,10639
360,31143,10000,10639
361,31721,10000,10639
362,31099,10000,10639
363,30875,10000,10639
364,31236,10000,10639
365,30876,10000,10639
366,31224,10000,10639
367,30600,10000,10639
368,31441,10000,10639
369,31249,10000,10639
370,31076,10000,10639
371,31221,10000,10639
372,31266,10000,10639
373,31018,10000,10639
374,30675,10000,10639
375,31141,10000,10639
376,31516,10000,10639
377,32488,10000,10639
378,30932,10000,10639
379,31137,10000,10639
380,30961,10000,10639
381,31534,10000,10639
382,30923,10000,10639
383,30901,10000,10639
384,31244,10000,10639
385,31695,10000,10639
386,31096,10000,10639
387,30876,10000,10639
388,31338,10000,10639
389,31093,10000,10639
390,31641,10000,10639
391,30956,10000,10639
392,31300,10000,10639
393,31426,10000,10639
394,31467,10000,10639
395,31192,10000,10639
396,31631,10000,10639
397,31575,10000,10639
398,31359,10000,10639
399,31235,10000,10639
400,31213,10000,10639
401,30768,10000,10639
402,31124,10000,10639
403,31153,10000,10639
404,31089,10000,10639
405,30727,10000,10639
406,31141,10000,10639
407,33201,10000,10639
408,30924,10000,10639
409,31484,10000,10639
410,31253,10000,10639
411,31956,10000,10639
412,31997,10000,10639
413,31636,10000,10639
414,31706,10000,10639
415,31491,10000,10639
416,31521,10000,10639
417,31312,10000,10639
418,31018,10000,10639
419,31454,10000,10639
420,30895,10000,10639
421,31237,10000,10639
422,31507,10000,10639
423,31642,10000,10639
424,31435,10000,10639
425,32283,10000,10639
426,30994,10000,10639
427,32002,10000,10639
428,31601,10000,10639
429,32009,10000,10639
430,31032,10000,10639
431,31459,10000,10639
432,31617,10000,10639
433,31587,10000,10639
434,31206,10000,10639
435,31413,10000,10639
436,31679,10000,10639
437,31996,10000,10639
438,33098,10000,10639
439,31276,10000,10639
440,30615,10000,10639
441,31612,10000,10639
442,31424,10000,10639
443,31359,10000,10639
444,30749,10000,10639
445,31096,10000,10639
446,31331,10000,10639
447,31154,10000,10639
448,30744,10000,10639
449,31218,10000,10639
450,31866,10000,10639
451,31038,10000,10639
452,31401,10000,10639
453,31016,10000,10639
454,31268,10000,10639
455,31443,10000,10639
456,30932,10000,10639
457,31085,10000,10639
458,30995,10000,10639
459,30613,10000,10639
460,31343,10000,10639
461,31389,10000,10639
462,31949,10000,10639
463,31741,10000,10639
464,30947,10000,10639
465,30669,10000,10639
466,30993,10000,10639
467,30894,10000,10639
468,33197,10000,10639
469,31538,10000,10639
470,30891,10000,10639
471,36207,10000,10639
472,31080,10000,10639
473,31919,10000,10639
474,34253,10000,10639
475,31068,10000,10639
476,33208,10000,10639
477,31029,10000,10639
478,31747,10000,10639
479,31673,10000,10639
480,31133,10000,10639
481,30955,10000,10639
482,31145,10000,10639
483,30982,10000,10639
484,31684,10000,10639
485,31394,10000,10639
486,31239,10000,10639
487,31480,10000,10639
488,31628,10000,10639
489,31440,10000,10639
490,31297,10000,10639
491,31263,10000,10639
492,32277,10000,10639
493,31658,10000,10639
494,31159,10000,10639
495,31178,10000,10639
496,31844,10000,10639
497,31394,10000,10639
498,31366,10000,10639
499,31284,10000,10639
500,31373,10000,10639
501,31751,10000,10639
502,31046,10000,10639
503,31159,10000,10639
504,31203,10000,10639
505,30994,10000,10639
506,30892,10000,10639
507,31709,10000,10639
508,30671,10000,10639
509,30897,10000,10639
510,30827,10000,10639
511,31465,10000,10639
512,30707,10000,10639
513,31320,10000,10639
514,31744,10000,10639
515,30934,10000,10639
516,30640,10000,10639
517,30756,10000,10639
518,30599,10000,10639
519,30996,10000,10639
520,30908,10000,10639
521,31086,10000,10639
522,31115,10000,10639
523,30599,10000,10639
524,31331,10000,10639
525,30766,10000,10639
526,31087,10000,10639
527,31341,10000,10639
528,31115,10000,10639
529,33326,10000,10639
530,31011,10000,10639
531,31251,10000,10639
532,31482,10000,10639
533,31058,10000,10639
534,31748,10000,10639
535,30949,10000,10639
536,31434,10000,10639
537,31172,10000,10639
538,31187,10000,10639
539,31353,10000,10639
540,30625,10000,10639
541,31308,10000,10639
542,31336,10000,10639
543,30589,10000,10639
544,32033,10000,10639
545,31448,10000,10639
546,31075,10000,10639
547,31191,10000,10639
548,32013,10000,10639
549,31163,10000,10639
550,31233,10000,10639
551,31003,10000,10639
552,31119,10000,10639
553,31765,10000,10639
554,31233,10000,10639
555,30921,10000,10639
556,30755,10000,10639
557,30847,10000,10639
558,31786,10000,10639
559,31063,10000,10639
560,32732,10000,10639
561,32065,10000,10639
562,30919,10000,10639
563,30728,10000,10639
564,30819,10000,10639
565,31019,10000,10639
566,31142,10000,10639
567,31004,10000,10639
568,30810,10000,10639
569,30814,10000,10639
570,30638,10000,10639
571,31431,10000,10639
572,30541,10000,10639
573,30718,10000,10639
574,30900,10000,10639
575,31405,10000,10639
576,31102,10000,10639
577,30889,10000,10639
578,31073,10000,10639
579,31685,10000,10639
580,30939,10000,10639
581,31139,10000,10639
582,30658,10000,10639
583,31102,10000,10639
584,31933,10000,10639
585,31414,10000,10639
586,30744,10000,10639
587,31391,10000,10639
588,31565,10000,10639
589,31156,10000,10639
590,30881,10000,10639
591,31991,10000,10639
592,30933,10000,10639
593,31191,10000,10639
594,30679,10000,10639
595,31012,10000,10639
596,30819,10000,10639
597,31956,10000,10639
598,30952,10000,10639
599,31621,10000,10639
600,30871,10000,10639
601,30772,10000,10639
602,30794,10000,10639
603,31837,10000,10639
604,30986,10000,10639
605,31084,10000,10639
606,31046,10000,10639
607,31329,10000,10639
608,33953,10000,10639
609,37338,10000,10639
610,40398,10000,10639
611,34002,10000,10639
612,31146,10000,10639
613,31498,10000,10639
614,31381,10000,10639
615,31121,10000,10639
616,31229,10000,10639
617,31016,10000,10639
618,31735,10000,10639
619,31327,10000,10639
620,32510,10000,10639
621,38481,10000,10639
622,31372,10000,10639
623,31794,10000,10639
624,31203,10000,10639
625,33557,10000,10639
626,33616,10000,10639
627,31400,10000,10639
628,31309,10000,10639
629,31013,10000,10639
630,30716,10000,10639
631,31356,10000,10639
632,31489,10000,10639
633,31232,10000,10639
634,31023,10000,10639
635,31320,10000,10639
636,31430,10000,10639
637,32207,10000,10639
638,38684,10000,10639
639,32007,10000,10639
640,30782,10000,10639
641,31473,10000,10639
642,30965,10000,10639
643,31527,10000,10639
644,30781,10000,10639
645,31020,10000,10639
646,30722,10000,10639
647,31012,10000,10639
648,32068,10000,10639
649,31400,10000,10639
650,31241,10000,10639
651,33630,10000,10639
652,31047,10000,10639
653,30763,10000,10639
654,31239,10000,10639
655,31876,10000,10639
656,31204,10000,10639
657,30623,10000,10639
658,30804,10000,10639
659,31580,10000,10639
660,30946,10000,10639
661,31899,10000,10639
662,30838,10000,10639
663,31387,10000,10639
664,30917,10000,10639
665,31876,10000,10639
666,30846,10000,10639
667,31979,10000,10639
668,31371,10000,10639
669,30975,10000,10639
670,31647,10000,10639
671,33266,10000,10639
672,31843,10000,10639
673,31161,10000,10639
674,31454,10000,10639
675,31435,10000,10639
676,31416,10000,10639
677,31633,10000,10639
678,31267,10000,10639
679,31095,10000,10639
680,31083,10000,10639
681,33400,10000,10639
682,30892,10000,10639
683,30437,10000,10639
684,30622,10000,10639
685,31298,10000,10639
686,30798,10000,10639
687,31626,10000,10639
688,30658,10000,10639
689,30551,10000,10639
690,30782,10000,10639
691,31076,10000,10639
692,31819,10000,10639
693,30711,10000,10639
694,30585,10000,10639
695,30719,10000,10639
696,30614,10000,10639
697,30991,10000,10639
698,31453,10000,10639
699,31473,10000,10639
700,31127,10000,10639
701,30995,10000,10639
702,31468,10000,10639
703,31766,10000,10639
704,30829,10000,10639
705,31468,10000,10639
706,30711,10000,10639
707,31668,10000,10639
708,30727,10000,10639
709,31657,10000,10639
710,30946,10000,10639
711,30947,10000,10639
712,32817,10000,10639
713,31303,10000,10639
714,31137,10000,10639
715,30635,10000,10639
716,31276,10000,10639
717,31060,10000,10639
718,31679,10000,10639
719,31496,10000,10639
720,30936,10000,10639
721,30643,10000,10639
722,30933,10000,10639
723,30997,10000,10639
724,30857,10000,10639
725,31058,10000,10639
726,31203,10000,10639
727,31199,10000,10639
728,31031,10000,10639
729,31788,10000,10639
730,31013,10000,10639
731,30690,10000,10639
732,31123,10000,10639
733,30672,10000,10639
734,30734,10000,10639
735,31393,10000,10639
736,30749,10000,10639
737,31055,10000,10639
738,31017,10000,10639
739,30727,10000,10639
740,31381,10000,10639
741,31092,10000,10639
742,30609,10000,10639
743,32936,10000,10639
744,31277,10000,10639
745,31184,10000,10639
746,30810,10000,10639
747,31801,10000,10639
748,30889,10000,10639
749,31315,10000,10639
750,31231,10000,10639
751,31475,10000,10639
752,31684,10000,10639
753,30835,10000,10639
754,30882,10000,10639
755,31445,10000,10639
756,30902,10000,10639
757,31186,10000,10639
758,31049,10000,10639
759,30965,10000,10639
760,31146,10000,10639
761,31291,10000,10639
762,31205,10000,10639
763,31141,10000,10639
764,31182,10000,10639
765,31048,10000,10639
766,30981,10000,10639
767,31570,10000,10639
768,30966,10000,10639
769,30728,10000,10639
770,31559,10000,10639
771,31253,10000,10639
772,31191,10000,10639
773,34632,10000,10639
774,30801,10000,10639
775,30629,10000,10639
776,31593,10000,10639
777,31124,10000,10639
778,31074,10000,10639
779,31469,10000,10639
780,31302,10000,10639
781,30794,10000,10639
782,31026,10000,10639
783,30778,10000,10639
784,30848,10000,10639
785,31019,10000,10639
786,30954,10000,10639
787,31218,10000,10639
788,31334,10000,10639
789,30624,10000,10639
790,31174,10000,10639
791,31294,10000,10639
792,30883,10000,10639
793,31186,10000,10639
794,31396,10000,10639
795,31478,10000,10639
796,30909,10000,10639
797,30974,10000,10639
798,31376,10000,10639
