
running 158 tests
test complete::host_source_tests::host_candidates_are_the_registered_functions ... ok
test complete::tests::a_later_line_of_a_multiline_input_is_found_by_byte_offset ... ok
test complete::tests::commands_complete_only_at_the_start_and_names_are_deduplicated ... ok
test complete::tests::nothing_is_offered_inside_strings_comments_or_after_a_dot ... ok
test complete::tests::qualified_paths_complete_within_the_module ... ok
test complete::tests::the_whole_token_containing_the_cursor_is_the_range ... ok
test config::tests::every_colour_name_and_rgb_value_is_validated_before_emission ... ok
test config::tests::extension_in_a_serving_context_is_absent_from_settings ... ok
test dep_wire::tests::framing ... ok
test env::tests::exactly_four_names_and_no_setter ... ok
test execute::shutdown_tests::final_drain_refuses_a_live_task_then_succeeds_after_it_ends ... ok
test extensions::tests::cleanup_while_unwinding_keeps_the_original_panic ... ok
test extensions::tests::names_and_help_are_checked_before_installation ... ok
test extensions::tests::overlapping_and_nested_catches_do_not_hold_a_lock_across_adapter_code ... ok
test format::boundary_tests::limits_bound_the_work_not_only_the_output ... ok
test format::boundary_tests::object_keys_are_quoted_and_escaped ... ok
test format::boundary_tests::styling_preserves_an_atomic_wrapper_at_the_byte_boundary ... ok
test format::boundary_tests::wrapper_chains_stop_at_the_depth ... ok
test format::tests::a_candidate_that_does_not_fit_the_value_is_not_used ... ok
test format::tests::a_cycle_and_an_opaque_value_are_complete_renderings ... ok
test format::tests::a_large_byte_string_is_complete_at_an_entry_point_and_previewed_at_a_prompt ... ok
test format::tests::a_preview_elides_and_a_complete_rendering_does_not ... ok
test format::tests::a_retained_value_keeps_its_field_names_across_later_inputs ... ok
test format::tests::a_value_containing_itself_prints_a_cycle_marker ... ok
test format::tests::an_error_is_bounded_by_the_same_budget_whatever_its_shape ... ok
test format::tests::byte_strings_show_their_contents ... ok
test format::tests::deep_object_is_cut_at_the_depth_with_the_field_count ... ok
test format::tests::huge_string_is_cut_by_bytes ... ok
test format::tests::long_vector_is_cut_with_the_omitted_count ... ok
test format::tests::rendering_runs_no_script_code_even_when_a_debug_protocol_is_defined ... ok
test format::tests::repeated_shared_data_is_not_a_cycle ... ok
test format::tests::structs_print_by_declared_fields_and_enums_by_variant ... ok
test format::tests::total_budget_truncates_the_whole_rendering_honestly ... ok
test format::tests::unsupported_types_print_opaque_markers_with_the_type_name ... ok
test fs::tests::exactly_eighteen_names_have_help_and_resolve ... ok
test fs::tests::times_floor_before_epoch_and_refuse_overflow ... ok
test fs_platform::tests::exclusive_call_needs_no_existing_source_or_destination ... ok
test host::tests::a_file_past_the_limit_names_itself_too ... ok
test host::tests::a_probe_that_cannot_spawn_reports_the_spawn_failure ... ok
test host::tests::a_shortfall_rnx_caused_excuses_a_partial_last_character ... ok
test host::tests::a_wait_grows_with_the_child_and_never_outlives_the_deadline ... ok
test host::tests::an_unreadable_stream_overrides_both_exemptions ... ok
test host::tests::each_stream_is_judged_on_its_own_flags ... ok
test host::tests::every_error_that_touches_a_path_names_it ... ok
test host::tests::the_reachable_ways_running_a_program_can_fail_name_the_program ... ok
test http::tests::lifecycle_failure_releases_the_cached_client_before_returning ... ok
test http::tests::retained_rune_http_inner_drops_synchronously_on_failure_and_reset ... ok
test http::tests::the_module_registers_exactly_four_functions_and_no_json_reader ... ok
test http::tests::unpolled_native_calls_construct_no_client ... ok
test inspect::budget_tests::an_oversized_unknown_name_is_bounded_and_escaped ... ok
test inspect::budget_tests::declaration_help_escapes_only_what_fits ... ok
test inspect::budget_tests::the_escaper_stops_at_its_budget ... ok
test inspect::budget_tests::vars_visits_only_the_bindings_it_may_list ... ok
test inspect::short_circuit_tests::binding_help_does_not_render_a_value_it_cannot_print ... ok
test inspect::tests::a_failed_input_leaves_its_mutation_visible_and_its_binding_absent ... ok
test inspect::tests::a_name_that_is_both_reports_the_binding_and_says_the_declaration_exists ... ok
test inspect::tests::both_commands_answer_when_the_session_is_over_its_ceiling ... ok
test inspect::tests::declaration_source_is_escaped_for_the_terminal ... ok
test inspect::tests::every_registered_host_function_has_a_description ... ok
test inspect::tests::help_answers_for_each_kind_and_states_the_precedence ... ok
test inspect::tests::inspection_runs_no_code ... ok
test inspect::tests::the_invocation_budget_bounds_every_command ... ok
test inspect::tests::vars_lists_bindings_in_name_order_with_type_and_value ... ok
test lifecycle::tests::contexts_threads_and_retired_handles_never_fall_back ... ok
test lifecycle::tests::destructor_failure_retires_and_still_revokes_other_owners ... ok
test lifecycle::tests::final_drop_completion_and_returned_error_remove_entries ... ok
test lifecycle::tests::repeated_operations_do_not_accumulate_weak_entries ... ok
test lifecycle::tests::retained_owner_is_revoked_without_another_poll ... ok
test lifecycle::tests::rune_registration_accepts_scope_and_non_send_future ... ok
test lifecycle::tests::rune_retained_runtime_failure_and_budget_revoke_before_return ... ok
test lifecycle::tests::rune_success_unrelated_failure_compile_refusal_and_reset ... ok
test memory::tests::every_event_is_accounted_and_a_failure_is_not ... ok
test method::tests::a_message_that_does_not_parse_is_left_alone ... ok
test method::tests::a_name_is_proved_before_it_is_printed ... ok
test method::tests::candidates_are_the_names_used_in_method_position ... ok
test method::tests::the_map_comes_from_the_linked_rune_and_reproduces_a_reported_hash ... ok
test namespace_tests::core_inventory_has_domain_names_and_no_host_crate ... ok
test path::tests::exact_surface_compiles ... ok
test platform::tests::a_cancellation_that_arrives_before_the_submission_is_asked_again ... ok
test platform::tests::a_panic_inside_an_operation_withdraws_the_handle ... ok
test platform::tests::a_stop_reaches_the_operation_a_worker_is_inside ... ok
test platform::tests::a_worker_never_lets_go_of_a_stream_that_is_still_reachable ... ok
test platform::tests::an_operation_is_never_declared_after_a_stop ... ok
test platform::tests::asking_does_not_stop_while_the_operation_is_still_declared ... ok
test platform::tests::nothing_is_reachable_once_an_operation_is_over ... ok
test present::failure_tests::a_borrow_failure_is_reported_and_the_value_survives ... ok
test present::failure_tests::repeated_presentation_is_identical ... ok
test present::installation_tests::a_presenter_failure_is_reported_beside_the_opaque_label_not_as_an_evaluation_error ... ok
