repeat complete 0
repeat complete 1
{'workload': 'artifact', 'algorithm': 'blake3', 'repeat': 0, 'inside_ms': 35.3341, 'wall_ms': 36.030303}
{'workload': 'artifact', 'algorithm': 'blake3', 'repeat': 1, 'inside_ms': 35.318621, 'wall_ms': 35.98264}
{'workload': 'artifact', 'algorithm': 'parallel-16k', 'repeat': 0, 'inside_ms': 57.6092095, 'wall_ms': 58.3643625}
{'workload': 'artifact', 'algorithm': 'parallel-16k', 'repeat': 1, 'inside_ms': 57.3042915, 'wall_ms': 58.084824}
{'workload': 'artifact', 'algorithm': 'parallel-1m', 'repeat': 0, 'inside_ms': 16.3047905, 'wall_ms': 17.057159}
{'workload': 'artifact', 'algorithm': 'parallel-1m', 'repeat': 1, 'inside_ms': 16.252485999999998, 'wall_ms': 16.9271745}
{'workload': 'artifact', 'algorithm': 'single-sha256', 'repeat': 0, 'inside_ms': 65.981297, 'wall_ms': 66.6364835}
{'workload': 'artifact', 'algorithm': 'single-sha256', 'repeat': 1, 'inside_ms': 66.001956, 'wall_ms': 66.663521}
{'workload': 'native', 'algorithm': 'blake3', 'repeat': 0, 'inside_ms': 9.5441515, 'wall_ms': 10.9134755}
{'workload': 'native', 'algorithm': 'blake3', 'repeat': 1, 'inside_ms': 9.4482715, 'wall_ms': 10.7815175}
{'workload': 'native', 'algorithm': 'double-sha256', 'repeat': 0, 'inside_ms': 14.28407, 'wall_ms': 15.6205965}
{'workload': 'native', 'algorithm': 'double-sha256', 'repeat': 1, 'inside_ms': 14.6248355, 'wall_ms': 15.997099}
{'workload': 'native', 'algorithm': 'single-sha256', 'repeat': 0, 'inside_ms': 10.829079499999999, 'wall_ms': 12.19657}
{'workload': 'native', 'algorithm': 'single-sha256', 'repeat': 1, 'inside_ms': 10.94969, 'wall_ms': 12.343445}
{'workload': 'tree', 'algorithm': 'blake3', 'repeat': 0, 'inside_ms': 5.562022499999999, 'wall_ms': 6.897976}
{'workload': 'tree', 'algorithm': 'blake3', 'repeat': 1, 'inside_ms': 5.4815215, 'wall_ms': 6.8233654999999995}
{'workload': 'tree', 'algorithm': 'double-sha256', 'repeat': 0, 'inside_ms': 10.463068999999999, 'wall_ms': 11.819187500000002}
{'workload': 'tree', 'algorithm': 'double-sha256', 'repeat': 1, 'inside_ms': 10.4859595, 'wall_ms': 11.8491245}
{'workload': 'tree', 'algorithm': 'single-sha256', 'repeat': 0, 'inside_ms': 6.746585999999999, 'wall_ms': 8.0866585}
{'workload': 'tree', 'algorithm': 'single-sha256', 'repeat': 1, 'inside_ms': 6.7622145, 'wall_ms': 8.1351805}
