DataFrame: 10 rows × 8 columns
"c0": string | "c1": string | "c2": string | "c3": string | "c4": string | "c5": string | "c6": string | "c7": string
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
