DataFrame: 100 rows × 100 columns
[90 rows and 92 columns omitted by display limits]
"c0": string | "c1": string | "c2": string | "c3": string | "c4": string | "c5": string | "c6": string | "c7": string
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
"value" | "value" | "value" | "value" | "value" | "value" | "value" | "value"
